"Number of tokens" File
10 SAZU_1cc6d513d208192a21f9638bf45e509a.txt
10 UNIPU_03000cce3808070e9bea4d2372959721.txt
10 UOXF_01f2257648400a523c226707d7341475.txt
10 VND_0266e33d3f546cb5436a10798e657d97.txt
11 AUSONIUS_051b624f3dc422f3397f3745eb784db3.txt
11 BSR_00236d819379c1b98d349ee6c84d12ca.txt
11 EDH_0000123519b9202a38dbdac5189c5570.txt
11 EDH_001141a69f70c494976290f9ff72c010.txt
11 EDH_001dce0bb3120ba623a4a033f81dea97.txt
11 EDH_001e2fefa5ff79e5b581cf1566450813.txt
11 EDR_0006610a56922d848d8eea3aacf29e71.txt
11 EDR_0020cdcb9cf1678827bdbce3b8b48c23.txt
11 ELTE_0ae6b20675ee5efa64f459257a7a0426.txt
11 SAZU_06394d4a3b28f76cabc978cdd0cf176c.txt
11 SAZU_0c190586121317af828a18bdc8867ace.txt
11 UAH_0007cda84fafdcf42f96c4f4adb7f8ce.txt
11 UBB_027fe88e3aa882aab54992e0b602e59c.txt
11 UNIPU_002b29b45f64b8f47a695b2784a41114.txt
11 UNIPU_04a7161fa3151ded1c24d01e4ff558c2.txt
11 VND_069d3bb002acd8d7dd095917f9efe4cb.txt
12 BSR_0027d5139bc03326d1295c2b37b942de.txt
12 EDB_000a91f3e374e6147d58ed1814247508.txt
12 EDB_0023a1e3447fdb31836536cc903f1310.txt
12 EDB_00430c0c1fae276c9713ab5f21167882.txt
12 EDB_00509e33150cba19d677c83ad03febae.txt
12 EDH_0026f383a43727e445cfa92e290fd7a1.txt
12 EDR_001b7a52f3953cd279f5993b8cf196f7.txt
12 ELTE_08aa76693d116a1cca0d93005fa94ff6.txt
12 RIB_008bd5ad93b754d500338c253d9c1770.txt
12 SAZU_06290f78656ed75d91c9c15ac9c3c228.txt
12 UBB_001f23e41e6701a13b1c3ed887039fd1.txt
12 UOXF_00a23586f01fc4370dfb2cbd7f59d10c.txt
13 BSR_02d1827e95af60b9930e31acbee9a71b.txt
13 BSR_060f132c729952066a5c386eeba29390.txt
13 EDB_003dd617c12d444ff9c80f717c3fa982.txt
13 EDH_001141601a4cbc14e0f1e0c17344fb3e.txt
13 EDR_001728d818c7e6e4157d11812b7d8a76.txt
13 EDR_001dcc5140d0c8c81b9bc2a11685c1eb.txt
13 RIB_020c8bfac8de160d4c5543b96d1fdede.txt
13 RIB_02b1be0d48924c327124732726097157.txt
13 SAZU_1cadbbc4872e843976316fb692f42227.txt
13 UAH_001ab2fa029c064a45e41f8b2644a292.txt
13 UNIPU_040c1550dc72db54a76ede62b21b24d0.txt
13 VND_02522a2b2726fb0a03bb19f2d8d9524d.txt
14 AUSONIUS_0033a3c25275ff30db1bdae6ee70af67.txt
14 AUSONIUS_03b3e98e68cce43b3737b8a06680e780.txt
14 AUSONIUS_0997eeb64546163f3c6ace9b3eaf4f5c.txt
14 BSR_044aaee755aa5941803de9d85a21d889.txt
14 EDB_000871c1fc726f0b52dc86a4eeb027de.txt
